Item_Number,Set_Name,Theme,Pieces,Price,Amazon_Price,Year,Ages,Pages,Minifigures,Packaging,Weight,Unique_Pieces,Availability,Size
43172,Elsa's Ice Palace,LEGO® Frozen 2,701,79.99,63.99,2019,Ages_6+,180,4,NA,NA,234,NA,Small
10907,World Animals,DUPLO®,121,99.99,95.65,2019,Ages_2+,48,6,Box,NA,75,Retail,Large
75278,D-O,Star Wars™,519,69.99,57.09,2020,Ages_10+,72,1,Box,NA,149,NA,Small
31095,Fairground Carousel,Creator 3-in-1,595,49.99,40,2019,Ages_8+,236,3,Box,NA,223,Retail,Small
75976,Wrecking Ball,Overwatch®,227,19.99,19.99,2019,Ages_9+,84,1,Box,NA,78,Retail,Small
41353,Friends Advent Calendar,Friends,500,29.99,34,2018,Ages_6-12,4,NA,Box,NA,202,Retail,Small
70639,Street Race of Snake Jaguar,NINJAGO®,308,29.99,63.93,2018,Ages_7-14,112,2,Box,0.44Kg (0.97 lb),130,Retail,Small
75253,Droid Commander,Star Wars™,1177,199.99,199.95,2019,Ages_8+,25,NA,Box,NA,343,Retail,Small
21313,Ship in a Bottle,Ideas,962,69.99,154,2018,Ages_12+,156,NA,Box,NA,124,Retail - limited,Small
41342,Emma's Deluxe Bedroom,Friends,183,14.99,49.92,2018,Ages_6-12,68,1,Box,NA,105,Retail,Small
42094,Tracked Loader,Technic™,827,79.99,134.2,2019,Ages_10+,140,NA,Box,1.13Kg (2.49 lb),128,Retail,Small
70420,Graveyard Mystery,Hidden Side,335,29.99,23.97,2019,Ages_7+,112,4,Box,NA,160,Retail,Small
42076,Hovercraft,Technic™,1020,89.99,128.99,2018,Ages_9-16,349,NA,Box,NA,139,NA,Small
76117,Batman Mech vs. Poison Ivy Mech,Batman™,375,39.99,61.94,2019,Ages_7+,92,4,Box,0.55Kg (1.21 lb),173,Retail,Small
70821,Emmet and Benny's 'Build and Fix' Workshop!,THE LEGO® MOVIE 2™,117,19.99,19.98,2019,Ages_4+,48,2,Box,0.34Kg (0.75 lb),73,Retail,Small
76898,Formula E Panasonic Jaguar Racing GEN2 Car & Jaguar I-PACE eTROPHY,Speed Champions,565,29.99,29.95,2020,Ages_8+,128,2,Box,0.73Kg (1.61 lb),186,Retail,Small
41347,Heartlake City Resort,Friends,1017,99.99,230,2018,Ages_7-12,208,4,Box,1.95Kg (4.3 lb),326,Retail,Small
75197,First Order Specialists Battle Pack,Star Wars™,108,14.99,29.99,2018,Ages_6-12,36,3,Box,NA,48,Retail,Small
75234,AT-AP Walker,Star Wars™,689,59.99,87.99,2019,Ages_9+,140,4,Box,0.98Kg (2.16 lb),214,Retail,Small
70918,The Bat-Dune Buggy,DC,198,19.99,37.89,2018,Ages_7-14,64,2,Box,NA,92,Retail,Small
75969,Hogwarts Astronomy Tower,Harry Potter™,971,99.99,99.99,2020,Ages_9+,172,8,Box,NA,310,Retail,Small
75946,Hungarian Horntail Triwizard Challenge,Harry Potter™,265,29.99,23.99,2019,Ages_8+,52,4,Box,NA,101,Retail,Small
71364,Whomp's Lava Trouble,LEGO® Super Mario™,133,19.99,19.99,2020,Ages_6+,NA,2,Box,NA,56,Retail,Small
41623,Ariel & Ursula,BrickHeadz,361,19.99,77.42,2018,Ages_10+,121,NA,Box,NA,121,Retail,Small
75209,Han Solo's Landspeeder,Star Wars™,345,29.99,36.9,2018,Ages_7-12,96,2,Box,0.42Kg (0.93 lb),126,Retail,Small
41287,Bubbles Playground Showdown,Powerpuff Girls™,144,19.99,19.84,2018,Ages_6-12,48,3,Box,0.23Kg (0.51 lb),92,Retail,Small
76141,Thanos Mech,Marvel,152,9.99,9.84,2020,Ages_6+,56,1,Box,NA,62,Retail,Small
10929,Modular Playhouse,DUPLO®,129,59.99,59.99,2020,Ages_2+,84,3,Box,NA,56,Retail,Large
70822,Unikitty's Sweetest Friends EVER!,THE LEGO® MOVIE 2™,76,9.99,12.5,2019,Ages_5+,36,3,Box,0.08Kg (0.18 lb),50,Retail,Small
31100,Sports Car,Creator 3-in-1,134,9.99,9.84,2020,Ages_6+,120,NA,Box,NA,60,Retail,Small
70664,Spinjitzu Lloyd vs. Garmadon,NINJAGO®,208,19.99,38.75,2019,Ages_7+,52,2,Box,0.23Kg (0.51 lb),44,Retail,Small
